names,descriptions,classified_products
Boys'  Tech Quarter-Zip Pullover,"This pullover is perfect for any active lifestyle. It is moisture-wicking and quick-drying, while also being incredibly comfortable and stretchy. The fabric stretches with him, but won't stretch out of shape. It also features a flat-faced fleece fabric that is brushed on the inside so it feels great against his skin. Additionally, it has reflective hits for enhanced visibility in low-light conditions. ","[""Boys' Clothing"", 'Activewear', 'Pullover']"
Rugged Ridge All-Terrain Hiking Shoes,"This pullover is perfect for any active lifestyle. It is moisture-wicking and quick-drying, while also being incredibly comfortable and stretchy. The fabric stretches with him, but won't stretch out of shape. It also features a flat-faced fleece fabric that is brushed on the inside so it feels great against his skin. Additionally, it has reflective hits for enhanced visibility in low-light conditions. ","['Footwear', 'Hiking Shoes', 'Outdoor Gear']"
Men's Wicked Warm Slippers,"We searched all around the globe for the finest genuine shearling to make our popular Wicked Good Slippers even better. Just slip into these incredibly soft sheepskin slippers and it's easy to see how they got their name. ","['Footwear', 'Slippers', ""Men's Clothing""]"
Men's TEKWool Thermal Shield Plaid Jacket,"We searched all around the globe for the finest genuine shearling to make our popular Wicked Good Slippers even better. Just slip into these incredibly soft sheepskin slippers and it's easy to see how they got their name. ","['Clothing', 'Jackets', ""Men's Apparel""]"
SmartWool Jewel Socks,"We searched all around the globe for the finest genuine shearling to make our popular Wicked Good Slippers even better. Just slip into these incredibly soft sheepskin slippers and it's easy to see how they got their name. ","['Clothing', 'Socks', 'Footwear']"
Kids' Arctic Hunter Hunting Bibs,"We searched all around the globe for the finest genuine shearling to make our popular Wicked Good Slippers even better. Just slip into these incredibly soft sheepskin slippers and it's easy to see how they got their name. ","['Clothing', ""Kids' Clothing"", 'Outdoor Gear']"
Mountain View HV 2 Tent,"Our popular two-person Mountain Light Tent has been redesigned with much more usable interior space and vestibules that are 50% larger. The unique full-coverage fly can be configured to allow multiple venting options.","['Tents', 'Camping Gear', 'Outdoor Equipment']"
Frosty Peaks Women's Fleece Jacket,"Our popular two-person Mountain Light Tent has been redesigned with much more usable interior space and vestibules that are 50% larger. The unique full-coverage fly can be configured to allow multiple venting options.","['Clothing', 'Outerwear', 'Jackets']"
"Wilderness LED Cap, Camouflage","Now our redesigned lighted cap makes getting out to your stand or tracking game in the dark even easier.","['Clothing', 'Accessories', 'Outdoor Gear']"
Lumenscope MT18 3000 Lumen Rechargeable Torch,"Now our redesigned lighted cap makes getting out to your stand or tracking game in the dark even easier.","['Outdoor Equipment', 'Lighting', 'Hunting Accessories']"
SportPRO™ Field Trainer 350,"Now our redesigned lighted cap makes getting out to your stand or tracking game in the dark even easier.","['Clothing', 'Accessories', 'Outdoor Gear']"
Stretch-Resistant Pull-On Capri Pants,"We've taken our rugged ripstop pants to the next level of comfort with an ultrasoft feel, a touch of stretch and a soft-knit elastic waistband. In a pull-on capri style that's great for warm weather.","['Clothing', 'Pants', 'Capri Pants']"
Women's Chunky Neck Blanket,"This stylish Buff neckwarmer is knit from soft yarns and lined with Primaloft fleece for extra warmth all winter long. ","['Clothing', 'Accessories', 'Winter Wear']"
Ladies' Luminous Cloud Sandals,"This stylish Buff neckwarmer is knit from soft yarns and lined with Primaloft fleece for extra warmth all winter long. ","['Footwear', 'Sandals', ""Women's Accessories""]"
"StreamMaster Ultra II Four-Piece Fly Rod, 4-6 wt.","Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.","['Fishing', 'Fly Rods', 'Outdoor Equipment']"
Weatherproof Patio Recliner,"Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.","['Outdoor Furniture', 'Patio Furniture', 'Recliners']"
Women's  Midweight Printed Base Layer Pants,"Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.","['Clothing', 'Pants', 'Base Layer']"
Customized Dog Tag,"Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.","['Outdoor Equipment', 'Fishing Gear', 'Accessories']"
Elevation Outdoor Light,"Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.","['Fishing Equipment', 'Fly Rods', 'Outdoor Gear']"
Girls' Summit Waterproof Insulated 3-in-1 Jacket,"Our popular 4-piece fly rod series has been improved to be lighter and more durable. With a crisp medium-fast action, a light feel and quality components, it's simply the best casting fly rod you'll find anywhere at this price.","['Clothing', 'Jackets', ""Girls' Outdoor Clothing""]"
Timberland Plaid Shirt,"Born from the tradition of our iconic  chamois shirt, now in a style that's specially detailed and softer than ever. This plaid chamois shirt is destined to be an essential part of your wardrobe.","['Clothing', 'Shirts', 'Plaid Shirts']"
"Garmin Chrono Pro Fitness Watch, Sapphire","This premium multisport GPS smartwatch features wrist heart rate technology that eliminates the need for a chest strap. Built-in full-color mapping and navigation features help keep you headed in the right direction. ","['Watches', 'Fitness Accessories', 'Outdoor Gear']"
Dynamic Denims Straight-Legs,"Our women’s straight-leg Double L Jeans are made of comfortable 100% cotton denim.","['Clothing', 'Pants', 'Denim']"
Women's Cozy Cabin Chukkas,"Our women’s straight-leg Double L Jeans are made of comfortable 100% cotton denim.","['Footwear', ""Women's Shoes"", 'Casual Shoes']"
Mountain Ridge Hunting Cap,"The low-profile  hunting logo hat is the perfect way to show your passion for the sport. It features an embroidered ® hunting logo on the crown and soft washed-chino twill.","['Clothing', 'Hats', 'Hunting Accessories']"
"Nikon NatureView Binoculars, 12 x 42 mm","The low-profile  hunting logo hat is the perfect way to show your passion for the sport. It features an embroidered ® hunting logo on the crown and soft washed-chino twill.","['Binoculars', 'Outdoor Equipment', 'Hunting Accessories']"
Women's Double-Layer Thermal Underwear,"The low-profile  hunting logo hat is the perfect way to show your passion for the sport. It features an embroidered ® hunting logo on the crown and soft washed-chino twill.","['Clothing', 'Thermal Wear', ""Women's Apparel""]"
Glimmerbeam Clip Light,"The low-profile  hunting logo hat is the perfect way to show your passion for the sport. It features an embroidered ® hunting logo on the crown and soft washed-chino twill.","['Clothing', 'Hats', 'Outdoor Accessories']"
Ultra-Warm 850 Down Mittens,"The low-profile  hunting logo hat is the perfect way to show your passion for the sport. It features an embroidered ® hunting logo on the crown and soft washed-chino twill.","['Clothing', 'Accessories', 'Mittens']"
Family Bow and Arrow Set,"Enjoy backyard archery with our best-value family bow set that has everything you need to start hitting targets. Specs include: ","['Outdoor Equipment', 'Archery', 'Family Activities']"
Outdoor Research Windproof Peruvian Hat,"Enjoy backyard archery with our best-value family bow set that has everything you need to start hitting targets. Specs include: ","['Clothing', 'Hats', 'Outdoor Accessories']"
"obot","This product is perfect for anyone looking for a quick solution to their needs. It can easily be customized and adjusted to fit your specific requirements. With our expert advice, you can find the perfect product for you in no time. ","['Clothing', 'Accessories', 'Outdoor Gear']"
"Women's Featherlight 850 Down Jacket, Print","Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance. Light activity: to 30°  Moderate activity: to -20°. About comfort ratings, Size & Fit - Closer fit with a slightly slimmer waist. Slightly Fitted. Best with midweight layer. Falls at hip. ","[""Women's Clothing"", 'Outerwear', 'Jackets']"
Men's Excursion Travel Brief,"Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance. Light activity: to 30°  Moderate activity: to -20°. About comfort ratings, Size & Fit - Closer fit with a slightly slimmer waist. Slightly Fitted. Best with midweight layer. Falls at hip. ","['Clothing', 'Outerwear', 'Jackets']"
Signature Plaid Oxford Shirt,"Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance. Light activity: to 30°  Moderate activity: to -20°. About comfort ratings, Size & Fit - Closer fit with a slightly slimmer waist. Slightly Fitted. Best with midweight layer. Falls at hip. ","['Clothing', 'Shirts', 'Outdoor Apparel']"
Luminous Kids' Graphic Tee,"Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance. Light activity: to 30°  Moderate activity: to -20°. About comfort ratings, Size & Fit - Closer fit with a slightly slimmer waist. Slightly Fitted. Best with midweight layer. Falls at hip. ","['Clothing', ""Kids' Clothing"", 'T-Shirts']"
